date	miles	totals
01-Jan-13	100	100
01-Feb-13	178	100
01-Mar-13	284.2	100
01-Apr-13	384.3	100
01-May-13	508	100
01-Jun-13	630.7	100
01-Jul-13	730.8	100
01-Aug-13	835.4	100
01-Sep-13	959.5	100
01-Oct-13	1051.3	100
01-Nov-13	1151.4	100
01-Dec-13	1206	100
01-Jan-14	1326.1	100
01-Feb-14	1441.1	100
01-Mar-14	1576	100
01-Apr-14	1706	100
01-May-14	1857.3	100
01-Jun-14	1987.3	100
01-Jul-14	2088	100
01-Aug-14	2221	100
01-Sep-14	2358.1	100
01-Oct-14	2471.1	100
01-Nov-14	2606	100
01-Dec-14	2706	100
01-Jan-15	2861	100
01-Feb-15	3006	100
01-Mar-15	3161	100
01-Apr-15	3311	100
01-May-15	3471	100
01-Jun-15	3621.2	100
01-Jul-15	3769.6	100
01-Aug-15	3924.6	100
01-Sep-15	4074.6	100
01-Oct-15	4229.6	100
01-Nov-15	4379.6	100
01-Dec-15	4541	100
01-Jan-16	4652.5	100
01-Feb-16	4787	100
01-Mar-16	4918	100
01-Apr-16	5047	100
01-May-16	5166	100
01-Jun-16	5288.5	100
01-Jul-16	5417	100
01-Aug-16	5583.5	100
01-Sep-16	5768	100
01-Oct-16	5859.2	100
01-Nov-16	5949.2	100
01-Dec-16	6066	100
01-Jan-17	6206	100
01-Feb-17	6367.1	100
01-Mar-17	6557.4	100
01-Apr-17	6758.2	100
01-May-17	6917.4	100
01-Jun-17	7070.7	100
01-Jul-17	7245.2	100
01-Aug-17	7467.6	100
01-Sep-17	7736.1	100
01-Oct-17	7890	100